name*,version*,license*,vendor/community,end-of-support,dependencies,language
abbrev,1.1.1,ISC,https://github.com/isaacs/abbrev-js,,,
addressparser,1.0.1,MIT,https://github.com/andris9/addressparser,,,
agent-base,2.1.1,MIT,https://github.com/TooTallNate/node-agent-base,,,
ajv,5.5.2,MIT,https://github.com/epoberezkin/ajv,,,
amqplib,0.5.2,MIT,https://github.com/squaremo/amqp.node,,,
ansi-regex,2.1.1,MIT,https://github.com/chalk/ansi-regex,,,
ansi-regex,3.0.0,MIT,https://github.com/chalk/ansi-regex,,,
ansi-styles,2.2.1,MIT,https://github.com/chalk/ansi-styles,,,
anymatch,1.3.2,ISC,https://github.com/es128/anymatch,,,
arr-diff,2.0.0,MIT,https://github.com/jonschlinkert/arr-diff,,,
arr-flatten,1.1.0,MIT,https://github.com/jonschlinkert/arr-flatten,,,
array-unique,0.2.1,MIT,https://github.com/jonschlinkert/array-unique,,,
asn1,0.2.3,MIT,https://github.com/mcavage/node-asn1,,,
assert-plus,0.2.0,MIT,https://github.com/mcavage/node-assert-plus,,,
assert-plus,1.0.0,MIT,https://github.com/mcavage/node-assert-plus,,,
ast-types,0.11.1,MIT,https://github.com/benjamn/ast-types,,,
async-each,1.0.1,MIT,https://github.com/paulmillr/async-each,,,
async,2.1.5,MIT,https://github.com/caolan/async,,,
asynckit,0.4.0,MIT,https://github.com/alexindigo/asynckit,,,
aws-sign2,0.6.0,Apache-2.0,https://github.com/mikeal/aws-sign,,,
aws-sign2,0.7.0,Apache-2.0,https://github.com/mikeal/aws-sign,,,
aws4,1.6.0,MIT,https://github.com/mhart/aws4,,,
axios,0.15.3,MIT,https://github.com/mzabriskie/axios,,,
babel-runtime,6.26.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-runtime,,,
balanced-match,1.0.0,MIT,https://github.com/juliangruber/balanced-match,,,
base64url,2.0.0,MIT,https://github.com/brianloveswords/base64url,,,
bcrypt-pbkdf,1.0.1,BSD-3-Clause,,,,
binary-extensions,1.11.0,MIT,https://github.com/sindresorhus/binary-extensions,,,
bitsyntax,0.0.4,Custom: https://travis-ci.org/squaremo/bitsyntax-js.png,https://github.com/squaremo/bitsyntax-js,,,
bl,1.1.2,MIT,https://github.com/rvagg/bl,,,
bluebird,3.5.1,MIT,https://github.com/petkaantonov/bluebird,,,
boolbase,1.0.0,ISC,https://github.com/fb55/boolbase,,,
boom,2.10.1,BSD-3-Clause,https://github.com/hapijs/boom,,,
boom,4.3.1,BSD-3-Clause,https://github.com/hapijs/boom,,,
boom,5.2.0,BSD-3-Clause,https://github.com/hapijs/boom,,,
brace-expansion,1.1.11,MIT,https://github.com/juliangruber/brace-expansion,,,
braces,1.8.5,MIT,https://github.com/jonschlinkert/braces,,,
buffer-equal-constant-time,1.0.1,BSD-3-Clause,https://github.com/goinstant/buffer-equal-constant-time,,,
buffer-more-ints,0.0.2,MIT*,https://github.com/dpw/node-buffer-more-ints,,,
buildmail,4.0.1,MIT,https://github.com/andris9/buildmail,,,
builtin-modules,1.1.1,MIT,https://github.com/sindresorhus/builtin-modules,,,
bytes,3.0.0,MIT,https://github.com/visionmedia/bytes.js,,,
camel-case,3.0.0,MIT,https://github.com/blakeembrey/camel-case,,,
camelcase,4.1.0,MIT,https://github.com/sindresorhus/camelcase,,,
caseless,0.11.0,Apache-2.0,https://github.com/mikeal/caseless,,,
caseless,0.12.0,Apache-2.0,https://github.com/mikeal/caseless,,,
chalk,1.1.3,MIT,https://github.com/chalk/chalk,,,
cheerio,0.22.0,MIT,https://github.com/cheeriojs/cheerio,,,
chokidar,1.7.0,MIT,https://github.com/paulmillr/chokidar,,,
circular-json,0.5.1,MIT,https://github.com/WebReflection/circular-json,,,
clean-css,4.1.11,MIT,https://github.com/jakubpawlowicz/clean-css,,,
cliui,3.2.0,ISC,https://github.com/yargs/cliui,,,
co,3.0.6,MIT,https://github.com/visionmedia/co,,,
co,4.6.0,MIT,https://github.com/tj/co,,,
code-point-at,1.1.0,MIT,https://github.com/sindresorhus/code-point-at,,,
combined-stream,1.0.6,MIT,https://github.com/felixge/node-combined-stream,,,
commander,2.14.1,MIT,https://github.com/tj/commander.js,,,
commander,2.15.0,MIT,https://github.com/tj/commander.js,,,
commander,2.9.0,MIT,https://github.com/tj/commander.js,,,
concat-map,0.0.1,MIT,https://github.com/substack/node-concat-map,,,
config-chain,1.1.11,MIT,https://github.com/dominictarr/config-chain,,,
core-js,2.5.3,MIT,https://github.com/zloirock/core-js,,,
core-util-is,1.0.2,MIT,https://github.com/isaacs/core-util-is,,,
cross-spawn,5.1.0,MIT,https://github.com/IndigoUnited/node-cross-spawn,,,
cryptiles,2.0.5,BSD-3-Clause,https://github.com/hapijs/cryptiles,,,
cryptiles,3.1.2,BSD-3-Clause,https://github.com/hapijs/cryptiles,,,
css-select,1.2.0,BSD*,https://github.com/fb55/css-select,,,
css-what,2.1.0,BSD*,https://github.com/fb55/css-what,,,
dashdash,1.14.1,MIT,https://github.com/trentm/node-dashdash,,,
data-uri-to-buffer,1.2.0,MIT,https://github.com/TooTallNate/node-data-uri-to-buffer,,,
datauri,1.1.0,MIT,https://github.com/data-uri/datauri,,,
date-format,1.2.0,MIT,https://github.com/nomiddlename/date-format,,,
debug,2.2.0,MIT,https://github.com/visionmedia/debug,,,
debug,2.6.9,MIT,https://github.com/visionmedia/debug,,,
debug,3.1.0,MIT,https://github.com/visionmedia/debug,,,
decamelize,1.2.0,MIT,https://github.com/sindresorhus/decamelize,,,
deep-extend,0.5.0,MIT,https://github.com/unclechu/node-deep-extend,,,
deep-is,0.1.3,MIT,https://github.com/thlorenz/deep-is,,,
degenerator,1.0.4,MIT,https://github.com/TooTallNate/node-degenerator,,,
delayed-stream,1.0.0,MIT,https://github.com/felixge/node-delayed-stream,,,
depd,1.1.1,MIT,https://github.com/dougwilson/nodejs-depd,,,
dom-serializer,0.1.0,MIT,https://github.com/cheeriojs/dom-renderer,,,
domelementtype,1.1.3,BSD*,https://github.com/FB55/domelementtype,,,
